Date,Location,MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Cloud9am,Cloud3pm,Temp9am,Temp3pm,RainToday,RainTomorrow
2009-01-16T00:00:00.000Z,Cobar,21.6,34.2,0,17.4,13.1,SW,44,S,S,17,19,19,8,1014.1,1012.3,0,0,25,32.2,No,No
2009-01-17T00:00:00.000Z,Cobar,18.4,31.8,0,16,12.9,S,33,S,SW,17,15,25,5,1016.3,1013.8,0,1,19.9,30.3,No,No
2009-01-18T00:00:00.000Z,Cobar,17.9,34.2,0,12,11.3,SE,61,NE,SE,22,17,46,19,1016.4,1013.5,1,2,21.6,32.2,No,No
2009-01-19T00:00:00.000Z,Cobar,21.4,37.5,0,14.8,6.9,NNE,43,ENE,NNE,26,9,34,29,1013.1,1009.6,7,6,26.2,34.1,No,Yes
2009-01-20T00:00:00.000Z,Cobar,23.3,39.4,4.8,12,10.9,W,59,N,NW,19,17,54,14,1011.1,1008.5,1,7,27,37,Yes,No
2009-01-21T00:00:00.000Z,Cobar,25.4,33.5,0,13.6,3.7,N,46,NW,N,9,28,46,52,1012,1009.8,4,7,28.9,29.7,No,No
2009-01-22T00:00:00.000Z,Cobar,21.8,30.7,0,8,5.9,WNW,56,N,N,24,19,71,63,1008.6,1006.2,7,7,24.4,27.3,No,Yes
2009-01-23T00:00:00.000Z,Cobar,20.3,36,18,8.2,10.5,WSW,94,NNE,NW,13,7,89,50,1008.6,1006.7,7,4,24.7,33.4,Yes,Yes
2009-01-24T00:00:00.000Z,Cobar,22.1,34.7,8.6,8.6,12.4,NNW,50,SSW,SW,11,15,46,23,1008.6,1008.3,2,6,28.1,33.2,Yes,No
2009-01-25T00:00:00.000Z,Cobar,19.7,37.3,0,14.2,13.4,SSW,28,SE,ENE,13,6,19,10,1013.1,1011.8,1,1,26.4,35,No,No
2009-01-26T00:00:00.000Z,Cobar,23.8,39.9,0,12.6,13.2,S,31,ENE,E,17,7,50,16,1014.6,1012.1,0,1,28.7,38.7,No,No
2009-01-27T00:00:00.000Z,Cobar,27,38.7,0,14.2,13,ENE,46,ENE,ESE,24,7,45,22,1015.2,1012.6,1,3,29,36.4,No,No
2009-01-28T00:00:00.000Z,Cobar,26.2,38.5,0,14.6,13.3,E,39,NNE,ENE,15,19,37,17,1014.4,1011.5,0,2,29.6,37,No,No
2009-01-29T00:00:00.000Z,Cobar,25,39.5,0,14.6,13.6,ENE,52,NNE,NNE,19,20,31,14,1014.6,1011.2,0,1,29.9,38.4,No,No
2009-01-30T00:00:00.000Z,Cobar,25.1,39.3,0,15.8,13.2,ESE,44,NNE,ESE,20,20,34,18,1013.8,1010.5,0,1,29.9,37.5,No,No
2009-01-31T00:00:00.000Z,Cobar,25.2,38.5,0,16.2,13.1,ENE,44,NNE,NE,24,20,35,18,1015.2,1011.9,1,2,29,36.9,No,No
2009-02-01T00:00:00.000Z,Cobar,24.8,40.8,0,13.4,11.3,SE,30,W,SSE,9,9,34,16,1012.9,1009.8,5,3,30.1,38.9,No,No
2009-02-02T00:00:00.000Z,Cobar,27.6,40.3,0,14.4,10.9,S,57,NNE,NNE,17,9,32,20,1010.4,1007.1,5,2,32,38.5,No,No
2009-02-03T00:00:00.000Z,Cobar,23.6,40.4,0.6,11.8,12.2,WSW,54,E,SSW,9,11,42,17,1008.4,1005,1,2,29.9,38.7,No,Yes
2009-02-04T00:00:00.000Z,Cobar,24.1,41.4,1.6,12.6,12.3,ENE,39,NE,WSW,17,7,50,21,1007,1003.5,0,4,28.2,38.8,Yes,No
2009-02-05T00:00:00.000Z,Cobar,27.2,43.4,0,14.2,12.6,NNW,37,N,N,15,7,33,14,1005.9,1003.3,1,3,32.6,43,No,No
2009-02-06T00:00:00.000Z,Cobar,29.1,43.5,0,13,12.1,WNW,28,NNW,NNW,9,13,25,16,1007.5,1005.2,1,2,35.6,41.4,No,No
2009-02-07T00:00:00.000Z,Cobar,28.9,41.4,0,15.6,12.7,NNE,41,NNE,ENE,20,19,22,14,1010.4,1008.3,1,0,32.1,40,No,No
2009-02-08T00:00:00.000Z,Cobar,25.1,42,0,17.4,13,NNE,39,N,NNE,15,13,23,9,1009.9,1007.3,0,1,31.6,40.4,No,No
2009-02-09T00:00:00.000Z,Cobar,25.4,36.6,0,15.2,10.3,SW,43,SSW,SSW,19,13,24,12,1008.6,1006.9,5,5,26.1,35.4,No,No
2009-02-10T00:00:00.000Z,Cobar,19.3,28.1,0,16,7.4,SSW,46,S,SSW,19,24,26,14,1010.2,1008.8,7,4,19.6,24.9,No,No
2009-02-11T00:00:00.000Z,Cobar,14.1,25.9,0,11.6,12.3,SW,44,SSW,S,22,24,38,19,1011.9,1010.1,0,0,14.8,24.1,No,No
2009-02-12T00:00:00.000Z,Cobar,14.5,30.1,0,9.6,10,S,37,S,SE,9,13,44,25,1013.2,1010,6,6,17.4,28.4,No,No
2009-02-13T00:00:00.000Z,Cobar,16.8,23.3,0.6,8,2.3,E,63,E,E,35,35,66,53,1013.8,1012.2,7,7,18.5,22.4,No,Yes
2009-02-14T00:00:00.000Z,Cobar,16.1,19.1,26,6.6,0,ESE,54,ESE,ESE,28,19,81,93,1014.3,1013.2,7,7,17.1,17,Yes,Yes
2009-02-15T00:00:00.000Z,Cobar,16,24.2,7,0.6,6.6,SE,43,SE,ESE,13,24,66,56,1012.1,1011.2,5,6,18.9,22.7,Yes,No
2009-02-16T00:00:00.000Z,Cobar,17.4,19.7,0,6,0,ESE,48,SE,SE,19,20,65,97,1011.2,1010.7,7,7,19.2,17.1,No,Yes
2009-02-17T00:00:00.000Z,Cobar,15.9,20.8,32.6,3,0.3,ESE,44,ESE,ESE,15,19,94,77,1011.9,1010.2,8,7,16.6,20.6,Yes,Yes
2009-02-18T00:00:00.000Z,Cobar,16.5,27.4,1.6,2,10,E,30,E,ESE,19,15,69,53,1009,1006.2,3,6,20.1,27,Yes,No
2009-02-19T00:00:00.000Z,Cobar,16.8,30.6,0,5.2,10.7,SSE,26,E,S,6,13,66,28,1008.7,1007.1,0,3,22.1,30,No,No
2009-02-20T00:00:00.000Z,Cobar,20.4,34,0,6.6,11.6,SW,31,WSW,SSE,9,4,45,19,1011,1009.6,2,4,25.9,33.1,No,No
2009-02-21T00:00:00.000Z,Cobar,19.9,31.7,0,9,12.4,S,31,S,SSW,13,11,39,25,1012.5,1010.8,1,1,23,30.3,No,No
2009-02-22T00:00:00.000Z,Cobar,17.2,34.3,0,10.2,12.4,WNW,39,E,NNW,15,9,52,19,1013.3,1011.2,0,2,22.3,32.3,No,No
2009-02-23T00:00:00.000Z,Cobar,21.9,35.1,0,9,10.2,S,43,NNE,NNW,22,24,53,30,1012.8,1010.4,3,4,25.9,34,No,Yes
2009-02-24T00:00:00.000Z,Cobar,21,34.7,2,10,9,E,46,NNE,NW,15,22,60,34,1013.5,1011.7,3,4,25.6,32.9,Yes,No
2009-02-25T00:00:00.000Z,Cobar,18.7,33.1,0.8,7.4,12.1,WSW,31,SSW,SW,11,9,69,32,1014.9,1013.2,2,2,23.6,31.7,No,No
2009-02-26T00:00:00.000Z,Cobar,17.9,33.8,0,8.4,12,ESE,24,ESE,WSW,13,7,25,19,1014.7,1013,0,1,24,32.4,No,No
2009-02-27T00:00:00.000Z,Cobar,19.9,33.5,0,9.2,12.3,NE,39,ENE,N,26,7,55,22,1014.5,1011.7,1,1,22.5,32.3,No,No
2009-02-28T00:00:00.000Z,Cobar,22.2,36.9,0,9.4,12,WSW,41,N,WNW,17,19,41,18,1010.9,1008.1,6,2,25.8,35.8,No,No
2009-03-01T00:00:00.000Z,Cobar,16.9,32.8,0,12.4,10.7,SSW,30,SW,S,2,11,33,14,1011.4,1010.1,6,3,20.4,30.4,No,No
2009-03-02T00:00:00.000Z,Cobar,20,31.1,0,10.4,3,SE,30,E,NW,7,6,31,31,1013.4,1012.7,7,6,23.1,29.3,No,No
2009-03-03T00:00:00.000Z,Cobar,23,38.9,0,7.2,8.4,W,65,NE,NNE,19,28,28,20,1012.8,1008.6,7,1,25,37.5,No,No
2009-03-04T00:00:00.000Z,Cobar,18.6,24.5,0,15.2,7.9,SSW,54,SSW,SW,22,24,46,21,1016,1015.6,8,1,18.6,22.9,No,No
2009-03-05T00:00:00.000Z,Cobar,14.1,24.6,0,11,11.5,SSW,46,SSW,SSW,20,17,50,29,1016.9,1014.2,1,0,15.1,22.5,No,No
2009-03-06T00:00:00.000Z,Cobar,11.9,26.4,0,8.4,12.1,WSW,41,SSW,WSW,11,9,52,28,1014.8,1012,0,0,16.7,24.9,No,No
2009-03-07T00:00:00.000Z,Cobar,13.1,29.6,0,8,12,SW,26,ESE,NE,11,7,42,18,1014.6,1012.4,0,0,18.7,27.8,No,No
2009-03-08T00:00:00.000Z,Cobar,16.5,33.2,0,9.4,12,E,46,SE,ESE,15,11,29,13,1014.2,1012,0,0,22.6,31.8,No,No
2009-03-09T00:00:00.000Z,Cobar,21.1,33.4,0,10.4,11.2,E,41,ENE,ENE,24,9,52,29,1015.8,1013.2,3,6,22.5,31.3,No,No
2009-03-10T00:00:00.000Z,Cobar,21.6,31.1,0,10.8,4.8,SW,61,ENE,E,30,11,49,34,1014.9,1013.7,7,7,24.2,28.5,No,No
2009-03-11T00:00:00.000Z,Cobar,19.5,31.4,0,6.8,10.5,ESE,46,ENE,ENE,26,19,54,34,1016.9,1014.4,1,1,21.8,30.2,No,No
2009-03-12T00:00:00.000Z,Cobar,21.6,32.2,0,11.2,5.8,NNE,48,ENE,N,28,20,54,35,1016.2,1013.2,6,5,23.9,31.2,No,Yes
2009-03-13T00:00:00.000Z,Cobar,18.5,29.6,9.2,7.6,6,NE,39,ENE,NE,13,6,86,43,1016.1,1013.3,5,6,20,28.8,Yes,Yes
2009-03-15T00:00:00.000Z,Cobar,16,24.3,0,10.4,11.1,S,39,SSE,SW,17,13,47,25,1014.5,1012.2,1,0,17.1,23.3,No,No
2009-03-16T00:00:00.000Z,Cobar,9.2,24.4,0,7.6,10.9,SSW,41,SW,SW,9,15,43,34,1015.1,1012.6,0,3,16,23.2,No,No
2009-03-17T00:00:00.000Z,Cobar,12.1,25.8,0,6.8,11.8,SSW,30,SSW,S,11,9,58,25,1015.6,1013.6,0,0,15.9,24.4,No,No
2009-03-18T00:00:00.000Z,Cobar,13.9,29.5,0,6.4,11.8,ESE,28,ESE,E,11,9,41,23,1015.8,1012.9,0,0,20.2,27.7,No,No
2009-03-19T00:00:00.000Z,Cobar,15.3,32.3,0,6,11.3,SW,24,E,SSW,4,9,39,16,1014.7,1012.7,5,1,21.3,30.8,No,No
2009-03-20T00:00:00.000Z,Cobar,17.6,33.9,0,8,11.6,E,39,ESE,WSW,7,6,29,9,1014.5,1011.9,0,1,23.8,32.7,No,No
2009-03-21T00:00:00.000Z,Cobar,19.1,34.2,0,9,11.4,ENE,28,ENE,SE,13,7,40,14,1014.7,1011.9,1,3,22.8,32.6,No,No
2009-03-22T00:00:00.000Z,Cobar,20.9,34.3,0,10.2,7.9,NNW,28,NE,WNW,13,13,46,19,1014.4,1011.9,7,1,21.9,32.8,No,No
2009-03-23T00:00:00.000Z,Cobar,21.3,35.9,0,9,10.8,N,35,N,WNW,9,15,35,17,1014.5,1012.5,2,1,24.8,34.7,No,No
2009-03-24T00:00:00.000Z,Cobar,19.2,37,0,10.2,11.1,NNW,43,N,NW,15,20,30,12,1014.9,1013.7,1,1,25.1,35.6,No,No
2009-03-25T00:00:00.000Z,Cobar,23.5,36.5,0,15.6,7.8,NNW,44,NNE,N,19,20,29,14,1017.3,1016,2,5,25.7,35.6,No,No
2009-03-26T00:00:00.000Z,Cobar,21.9,36.4,0,11.4,6.6,NNW,37,NNE,NW,13,9,31,13,1019.2,1016.8,5,4,25.2,36.3,No,No
2009-03-27T00:00:00.000Z,Cobar,20.8,31.2,0.2,11.4,10.3,SE,33,SSE,S,13,11,46,18,1021.3,1019.3,3,1,22.5,30.8,No,No
2009-03-28T00:00:00.000Z,Cobar,15.9,31,0,9.8,11.4,ENE,37,ENE,SSE,20,6,52,23,1021.2,1018.9,0,1,20.6,29.8,No,No
2009-03-29T00:00:00.000Z,Cobar,16.6,31.6,0,7.8,11.1,WSW,26,ENE,ESE,13,7,40,18,1020.3,1017.3,5,6,20.6,30.2,No,No
2009-03-30T00:00:00.000Z,Cobar,17.3,31,0,7,11.1,SE,33,E,SSE,17,9,43,24,1019.5,1016.3,3,1,20.4,29.4,No,No
2009-04-01T00:00:00.000Z,Cobar,18,30.6,0,8.4,11.2,SE,44,SE,SE,15,19,55,36,1016.3,1014.1,1,6,20.4,28.8,No,No
2009-04-02T00:00:00.000Z,Cobar,19.7,31.8,0,8.8,11.2,ESE,37,E,ESE,19,20,67,40,1017.9,1015.1,0,6,21.9,29.4,No,No
2009-04-03T00:00:00.000Z,Cobar,21,32.8,0,6.8,10.3,N,31,ENE,WNW,19,9,60,36,1018,1014.8,2,6,23.6,30.9,No,No
2009-04-04T00:00:00.000Z,Cobar,15.6,24.3,0.2,8.2,11.2,S,43,S,S,17,11,51,30,1020.2,1018,0,0,16.3,23.6,No,No
2009-04-05T00:00:00.000Z,Cobar,9.9,24.6,0,7,11.2,SSW,31,SSE,SW,11,15,40,17,1019.8,1016.3,0,0,16.9,24,No,No
2009-04-06T00:00:00.000Z,Cobar,10.7,23.3,0,6.2,11,SSW,43,SSE,S,17,15,53,23,1021.2,1018.6,0,0,16.4,22.2,No,No
2009-04-07T00:00:00.000Z,Cobar,9.4,25.6,0,7.6,11.2,SSW,31,S,SSE,13,13,44,26,1023.6,1020,0,0,13.8,24.6,No,No
2009-04-08T00:00:00.000Z,Cobar,13.5,28.4,0,5.8,9,ENE,35,ENE,ENE,24,11,57,32,1023,1019.8,1,3,19.9,28.1,No,No
2009-04-09T00:00:00.000Z,Cobar,17.1,28.7,0,6.6,5.5,WNW,43,ENE,ENE,15,15,45,32,1021.2,1016.9,7,7,20.1,26.7,No,Yes
2009-04-10T00:00:00.000Z,Cobar,16.5,20.6,14.4,6,0,E,30,NE,NNE,7,9,97,76,1021.3,1019.3,7,7,16.9,19.9,Yes,Yes
2009-04-11T00:00:00.000Z,Cobar,16,24.4,2.4,0.2,4.7,ENE,31,NNW,E,4,15,94,63,1023.1,1020.2,7,5,17.6,24,Yes,Yes
2009-04-12T00:00:00.000Z,Cobar,16.8,23.9,5.4,2.4,4.2,NNE,20,ENE,ENE,4,7,89,68,1022.9,1020.2,7,5,18.5,22.9,Yes,No
2009-04-13T00:00:00.000Z,Cobar,16.2,23.9,0,1.8,4.4,ENE,24,ESE,E,6,9,92,71,1020.6,1016.4,7,7,18.9,22.1,No,No
2009-04-15T00:00:00.000Z,Cobar,14.5,28.4,0,2.8,11.1,WNW,39,NW,WSW,15,22,56,23,1014.6,1012,0,1,22,27.4,No,No
2009-04-16T00:00:00.000Z,Cobar,14.9,29.4,0,8,9.8,NW,33,ENE,WNW,13,15,52,22,1015.1,1011.2,5,2,17.3,28.8,No,No
2009-04-17T00:00:00.000Z,Cobar,11.7,23.8,0,5,11,SSW,28,SSE,SSW,11,13,38,27,1017.7,1015.7,0,0,17.2,23.5,No,No
2009-04-18T00:00:00.000Z,Cobar,11.2,23.8,0,5,11,S,35,S,S,7,15,50,29,1020.9,1018.2,0,0,17.9,23.1,No,No
2009-04-19T00:00:00.000Z,Cobar,11.4,25.6,0,5,10.9,ESE,26,SSE,SSE,7,9,46,25,1020.3,1016.3,0,0,18.9,24.7,No,No
2009-04-20T00:00:00.000Z,Cobar,13.3,24.1,0,5.2,11.2,SE,31,E,S,13,15,52,23,1019.6,1016.1,0,1,18,23.5,No,No
2009-04-21T00:00:00.000Z,Cobar,11.9,24,0,6.2,10.9,ESE,35,E,ESE,19,13,52,33,1021,1016.8,1,1,17.2,23.4,No,No
2009-04-22T00:00:00.000Z,Cobar,12.3,24.6,0,5,9.9,E,31,ESE,SE,15,15,58,30,1021.8,1018,4,1,17.9,23.7,No,No
2009-04-23T00:00:00.000Z,Cobar,12,25.9,0,4.4,11,NE,33,ENE,E,20,9,57,28,1018.5,1013.7,0,4,17.5,25.3,No,No
2009-04-24T00:00:00.000Z,Cobar,16.7,24.6,0,7,4.3,WNW,57,NW,NNW,6,24,51,36,1009.2,1003.6,8,6,18.5,23.9,No,No
2009-04-25T00:00:00.000Z,Cobar,12.7,23.4,0.6,5,10.6,NW,46,WSW,WNW,13,24,64,36,1010.3,1006,1,5,17.1,21.9,No,No
2009-04-26T00:00:00.000Z,Cobar,11.2,18.4,1,5.6,9,WNW,63,WSW,W,22,19,54,37,1011.1,1010.7,1,6,13.1,16.5,No,No
2009-04-27T00:00:00.000Z,Cobar,5.7,19.7,0,4.8,10.3,WSW,52,WSW,WNW,9,17,58,34,1017.7,1015.2,0,1,12.6,18.8,No,No
2009-04-28T00:00:00.000Z,Cobar,12.4,19.9,1,4.2,8,WSW,35,SW,SW,17,19,78,41,1020.7,1018.6,7,3,14.7,18.6,No,No
2009-04-29T00:00:00.000Z,Cobar,6.2,17,0,4,9.6,SW,33,SSE,SW,4,11,57,34,1021.6,1018.9,7,2,11.4,16.4,No,No
2009-05-01T00:00:00.000Z,Cobar,6.2,19.3,0,3,7.8,ESE,17,ESE,SSE,7,2,49,31,1024.9,1021.6,6,6,14,19.1,No,No
2009-05-02T00:00:00.000Z,Cobar,6.6,20.6,0,2.4,10.6,S,28,SE,SSE,7,15,39,29,1025.6,1022.5,0,1,15.2,19.8,No,No
2009-05-03T00:00:00.000Z,Cobar,7.5,22.8,0,4.2,10.7,ESE,30,SE,ESE,9,17,54,22,1026,1023.5,0,1,14.8,21.9,No,No
2009-05-04T00:00:00.000Z,Cobar,8.5,23.3,0,4.2,10.7,ESE,22,SE,SSW,11,9,55,25,1028.3,1025.8,0,1,15.6,23.2,No,No
2009-05-05T00:00:00.000Z,Cobar,9.7,23.1,0,4.8,10.4,S,22,ESE,SSE,7,13,41,18,1029.7,1025.9,1,2,16.4,22.6,No,No
2009-05-06T00:00:00.000Z,Cobar,5.9,23.9,0,4.6,10.6,SW,20,NE,S,9,9,45,25,1027.4,1023,1,3,16.2,22.5,No,No
2009-05-07T00:00:00.000Z,Cobar,7.9,23.5,0,4,10.4,SE,26,S,SE,9,9,45,25,1025.5,1022.7,1,1,14.8,22.6,No,No
2009-05-08T00:00:00.000Z,Cobar,7.5,21.7,0,4,10.5,SSW,24,S,SSW,9,13,65,27,1027.7,1024.3,0,0,12.6,21,No,No
2009-05-09T00:00:00.000Z,Cobar,6.2,22.2,0,4,10.5,SSW,24,S,S,4,11,55,27,1025.1,1020.7,0,0,12.9,21.5,No,No
2009-05-10T00:00:00.000Z,Cobar,7.7,23.2,0,3.4,10.4,SW,22,SE,ESE,6,9,45,25,1022.2,1019.1,0,0,15.2,22.7,No,No
2009-05-11T00:00:00.000Z,Cobar,10.4,23.4,0,4.2,9.3,ENE,30,ENE,ENE,17,9,52,27,1022.6,1019.2,0,4,15.1,23.1,No,No
2009-05-12T00:00:00.000Z,Cobar,9.7,23.2,0,4,8.7,S,24,NE,SW,13,9,42,29,1021.5,1018,0,4,16.3,21.6,No,No
2009-05-13T00:00:00.000Z,Cobar,9,21.2,0,3.4,10.2,WSW,33,E,WSW,2,20,45,30,1019.1,1016.4,1,4,15.6,19.7,No,No
2009-05-14T00:00:00.000Z,Cobar,5.4,20.4,0,4.6,10,WSW,31,SW,WSW,6,15,51,35,1019.4,1016.6,0,3,13.4,19.2,No,No
2009-05-15T00:00:00.000Z,Cobar,7.5,21.2,0,3.4,10.4,WSW,37,W,W,9,19,50,32,1019.6,1016.6,1,1,15.3,20.2,No,No
2009-05-16T00:00:00.000Z,Cobar,8.8,20.6,0,4.4,7.6,SW,39,WSW,WSW,17,17,56,46,1018.1,1016.4,2,6,15.5,19.9,No,No
2009-05-17T00:00:00.000Z,Cobar,7.8,19.4,0,3.6,6.9,S,31,S,S,7,17,64,35,1022.3,1018.5,7,6,12.3,18.5,No,No
2009-05-19T00:00:00.000Z,Cobar,12.8,14.7,7.6,4.6,0,NE,41,ENE,E,20,17,96,91,1018.7,1015.6,8,8,13.9,13.7,Yes,Yes
2009-05-20T00:00:00.000Z,Cobar,12.5,15.6,17.6,0,0,ESE,52,E,ESE,20,26,96,91,1016.1,1014.9,8,8,13.1,13.2,Yes,Yes
2009-05-21T00:00:00.000Z,Cobar,12.7,20,7.8,1.4,7.5,ESE,52,ESE,ESE,22,28,64,49,1018.2,1016.2,7,5,15.4,19.5,Yes,No
2009-05-22T00:00:00.000Z,Cobar,10.9,20.8,0.2,2.8,10.1,ESE,46,SE,ESE,11,20,64,49,1018.5,1015.4,1,3,14.8,20.4,No,No
2009-05-23T00:00:00.000Z,Cobar,12.6,22.9,0,4,10.2,E,44,E,ENE,24,19,68,50,1017.5,1015.7,2,4,16.8,22.4,No,No
2009-05-24T00:00:00.000Z,Cobar,13.2,22.9,0,4,9.9,ENE,44,ENE,ENE,24,19,66,49,1021.2,1019,2,2,16.9,22.6,No,No
2009-05-25T00:00:00.000Z,Cobar,13.5,21.5,0,4.6,6.3,NE,44,NE,NNE,24,17,67,50,1022.6,1019.1,6,5,15.4,20.8,No,No
2009-05-26T00:00:00.000Z,Cobar,13,21.3,1,3.8,2.8,NE,26,NNE,N,13,2,87,63,1020.8,1018.5,7,7,13.9,19.9,No,Yes
2009-05-27T00:00:00.000Z,Cobar,12.6,16.3,3.6,2.2,0.7,S,20,SSW,S,7,7,96,76,1021.5,1018.8,8,7,12.7,16.1,Yes,No
2009-05-28T00:00:00.000Z,Cobar,7.2,15.9,0,0.8,9.4,SSW,24,S,SSW,6,13,74,44,1023.1,1020.5,3,2,10.7,15.6,No,No
2009-05-29T00:00:00.000Z,Cobar,2.4,15.6,0,2.4,9.3,SW,28,SSW,WSW,6,11,82,45,1023.7,1021.8,2,4,7.8,15.3,No,No
2009-05-30T00:00:00.000Z,Cobar,6.8,17.7,0,2.2,9.7,ESE,37,ESE,ESE,17,15,74,52,1025.6,1023.6,0,4,11.7,16.9,No,No
2009-05-31T00:00:00.000Z,Cobar,10.7,15.6,0,2.6,0.6,E,43,E,ENE,19,13,76,63,1027.7,1025.2,8,8,11.6,14.8,No,Yes
2009-06-01T00:00:00.000Z,Cobar,11.3,13,10,1.8,0,ENE,43,ENE,ENE,24,20,95,95,1026.5,1023.8,8,8,11.4,11.9,Yes,Yes
2009-06-02T00:00:00.000Z,Cobar,11.1,13.9,12,0,0,ENE,30,ENE,ENE,15,13,97,97,1023.8,1021.6,8,8,12.6,13.6,Yes,Yes
2009-06-03T00:00:00.000Z,Cobar,12.3,17.8,13.6,0,5.1,N,19,NNE,NA,7,0,95,68,1022.3,1019.4,7,5,13,16.3,Yes,No
2009-06-04T00:00:00.000Z,Cobar,11.6,18.6,0.2,0.6,8.3,SW,26,SSE,WNW,6,6,97,40,1020.4,1017.1,7,4,12.2,17.5,No,No
2009-06-05T00:00:00.000Z,Cobar,6.9,17.6,0,2.2,9.3,SW,15,SSW,SW,7,11,86,40,1018.4,1015.5,3,3,10.9,16.6,No,No
2009-06-06T00:00:00.000Z,Cobar,6.9,16.7,0,1.6,4.1,NE,28,NNE,WSW,17,9,72,92,1014.4,1011.2,5,7,11.5,11.9,No,Yes
2009-06-07T00:00:00.000Z,Cobar,6.5,14.5,3.4,1.2,3.9,W,28,WNW,WNW,13,17,79,70,1011.3,1010.4,2,7,10.2,13.8,Yes,No
2009-06-08T00:00:00.000Z,Cobar,8.8,15.8,0,1,8.3,WSW,31,WSW,WSW,17,22,78,55,1014.9,1013.5,1,8,11.5,14,No,No
2009-06-09T00:00:00.000Z,Cobar,5.5,14.3,0.8,2.8,6.2,W,46,W,W,13,24,84,57,1017.4,1015.1,1,7,8.8,12.9,No,No
2009-06-11T00:00:00.000Z,Cobar,0.2,12.1,0,2.8,9.6,SSW,31,SW,SW,4,11,79,46,1026.6,1024.1,0,1,5.6,11.6,No,No
2009-06-12T00:00:00.000Z,Cobar,1.9,12.8,0,1.2,6.8,NE,26,E,NNW,11,7,73,50,1025.4,1021.3,3,7,6.9,12.1,No,No
2009-06-13T00:00:00.000Z,Cobar,6.1,18,0,1.4,7.8,NNE,35,NNE,NNW,17,15,68,32,1017.6,1012.6,6,2,8.3,16.9,No,No
2009-06-14T00:00:00.000Z,Cobar,8.3,19,0.2,3.8,8.6,W,46,NNE,W,13,22,61,26,1012.1,1009.7,6,2,10.8,17.7,No,No
2009-06-15T00:00:00.000Z,Cobar,4.7,14.9,0,3.4,2.7,NW,24,N,NW,9,13,68,60,1013,1011.6,6,7,7.9,14.1,No,No
2009-06-16T00:00:00.000Z,Cobar,7.9,17.1,0.6,0.6,8.7,S,20,SSE,SSE,9,9,91,39,1021,1020.3,5,2,9.9,16.6,No,No
2009-06-17T00:00:00.000Z,Cobar,5.2,17.8,0,2.4,8.2,ENE,26,E,ESE,15,9,73,42,1026.2,1024.3,0,6,10.6,17.6,No,No
